state,era,use_group,properties,avg_sqft,median_value
NJ,pre-1960,Commercial,156980,6107,395786
NJ,1960-79,Commercial,50509,9928,553192
NJ,1980-99,Commercial,39675,118626,592905
NJ,unknown,INDUSTRIAL,31375,54144,831181
NJ,2000-09,Commercial,18836,16097,1021970
NJ,1960-79,INDUSTRIAL,11711,31490,1542630
NJ,pre-1960,INDUSTRIAL,11254,25302,753231
NJ,2010+,Commercial,7734,8911,987834
NJ,1980-99,INDUSTRIAL,7068,36985,1842127
NJ,2000-09,INDUSTRIAL,2341,38194,2094856
NJ,2010+,INDUSTRIAL,790,63425,4340725
NM,unknown,Commercial,38488,5595,127298
NM,1980-99,Commercial,13172,17932,363278
NM,1960-79,Commercial,12760,19820,232209
NM,pre-1960,Commercial,9951,4463,151994
NM,2000-09,Commercial,7295,11313,494787
NM,1980-99,INDUSTRIAL,4853,14137,401120
NM,1960-79,INDUSTRIAL,4038,9974,282698
NM,unknown,INDUSTRIAL,3790,6203,195745
NM,2010+,Commercial,3748,11249,774087
NM,2000-09,INDUSTRIAL,2392,14569,507827
NM,pre-1960,INDUSTRIAL,1941,8109,204703
NM,2010+,INDUSTRIAL,826,25715,601153
NY,pre-1960,Commercial,341186,10106,706774
NY,unknown,Commercial,199268,16812,52939
NY,1960-79,Commercial,87095,17018,364247
NY,1980-99,Commercial,71405,16090,486766
NY,unknown,INDUSTRIAL,65820,16790,45103
NY,2000-09,Commercial,47551,12981,315781
NY,pre-1960,INDUSTRIAL,42687,19807,492961
NY,2010+,Commercial,41413,21376,368322
NY,1960-79,INDUSTRIAL,25881,22770,517423
NY,1980-99,INDUSTRIAL,19947,20700,559715
NY,2000-09,INDUSTRIAL,8394,21167,538701
NY,2010+,INDUSTRIAL,4805,37941,722281
NC,unknown,Commercial,130032,10643,54315
NC,1980-99,Commercial,107516,10266,411036
NC,pre-1960,Commercial,99793,4635,165442
NC,1960-79,Commercial,77048,7883,273571
NC,2000-09,Commercial,59481,11255,626778
NC,1980-99,INDUSTRIAL,33216,25015,542511
NC,2010+,Commercial,27198,16218,1278989
NC,unknown,INDUSTRIAL,25460,50951,68921
NC,1960-79,INDUSTRIAL,22700,29890,436153
NC,pre-1960,INDUSTRIAL,17644,18051,183724
NC,2000-09,INDUSTRIAL,15587,20696,490746
NC,2010+,INDUSTRIAL,8318,42063,847861
ND,unknown,Commercial,149941,10582,12731
ND,1980-99,Commercial,3163,13594,672972
ND,1960-79,Commercial,3133,12086,471420
ND,pre-1960,Commercial,3095,7092,202650
ND,2010+,Commercial,2384,14908,991050
ND,2010+,INDUSTRIAL,2063,5546,199972
ND,2000-09,Commercial,1612,16330,1020164
ND,1980-99,INDUSTRIAL,1163,11029,440415
ND,2000-09,INDUSTRIAL,945,9428,309317
ND,1960-79,INDUSTRIAL,892,15800,444331
ND,pre-1960,INDUSTRIAL,494,11481,193949
ND,unknown,INDUSTRIAL,459,5958,70820
OH,unknown,Commercial,533509,6485,13800
OH,pre-1960,Commercial,292306,5285,86715
OH,unknown,INDUSTRIAL,143718,20136,10780
OH,1960-79,Commercial,139676,9976,195436
OH,1980-99,Commercial,130330,12789,342098
OH,pre-1960,INDUSTRIAL,64094,17307,111579
OH,2000-09,Commercial,56487,14767,509982
OH,1980-99,INDUSTRIAL,42885,27192,451023
OH,1960-79,INDUSTRIAL,41474,24208,306615
OH,2010+,Commercial,29755,20159,692879
OH,2000-09,INDUSTRIAL,16190,29753,343654
OH,2010+,INDUSTRIAL,8396,62009,520792
OK,unknown,Commercial,78275,4880,26219
OK,pre-1960,Commercial,43207,4326,97852
OK,1980-99,Commercial,41102,8507,275631
OK,1960-79,Commercial,37899,7409,179126
OK,2000-09,Commercial,20698,9375,552350
OK,2010+,Commercial,17054,9085,746581
OK,1980-99,INDUSTRIAL,14410,14241,310837
OK,1960-79,INDUSTRIAL,12550,15929,273415
OK,pre-1960,INDUSTRIAL,8517,9076,109223
OK,2000-09,INDUSTRIAL,6714,15867,427386
OK,2010+,INDUSTRIAL,5572,18862,523471
OK,unknown,INDUSTRIAL,1468,9780,360039
OR,unknown,Commercial,115934,8563,244861
OR,pre-1960,Commercial,63917,5897,462160
OR,unknown,INDUSTRIAL,43426,23638,375645
OR,1960-79,Commercial,41887,8283,566356
OR,1980-99,Commercial,36986,12980,707175
OR,2000-09,Commercial,31098,13767,178908
OR,2010+,Commercial,10955,17134,839970
OR,1980-99,INDUSTRIAL,10330,19366,1165283
OR,1960-79,INDUSTRIAL,9132,16405,1112224
OR,pre-1960,INDUSTRIAL,8497,14049,961687
OR,2000-09,INDUSTRIAL,5583,18833,999356
OR,2010+,INDUSTRIAL,3976,33980,1359047
PA,unknown,Commercial,354797,9446,70466
PA,pre-1960,Commercial,197633,5435,145543
PA,unknown,INDUSTRIAL,76338,31864,105472
PA,1960-79,Commercial,54791,11988,245522
PA,1980-99,Commercial,51235,14381,298913
PA,pre-1960,INDUSTRIAL,27848,20022,191537
PA,2000-09,Commercial,18513,18246,510690
PA,1960-79,INDUSTRIAL,15635,27747,450408
PA,1980-99,INDUSTRIAL,13509,30570,513017
PA,2010+,Commercial,11776,19739,664598
PA,2000-09,INDUSTRIAL,4918,44685,612523
PA,2010+,INDUSTRIAL,3507,72309,650076
RI,pre-1960,Commercial,21242,4877,
RI,unknown,Commercial,15067,3786,
RI,1980-99,Commercial,11229,7442,
RI,1960-79,Commercial,9404,8717,
RI,2000-09,Commercial,3037,12005,
RI,pre-1960,INDUSTRIAL,2470,29422,
RI,1980-99,INDUSTRIAL,2291,12618,
RI,1960-79,INDUSTRIAL,2015,26109,
RI,2010+,Commercial,1829,12080,
RI,unknown,INDUSTRIAL,1623,,
RI,2000-09,INDUSTRIAL,1057,10647,
RI,2010+,INDUSTRIAL,270,13738,
SC,unknown,Commercial,159103,45870,105252
SC,1980-99,Commercial,82855,12903,354969
SC,1960-79,Commercial,54024,8029,224392
SC,pre-1960,Commercial,49663,4565,118684
SC,2000-09,Commercial,35256,10850,661488
SC,2010+,Commercial,16776,12708,1093788
SC,unknown,INDUSTRIAL,14396,22323,252874
SC,1980-99,INDUSTRIAL,12973,18129,398615
SC,1960-79,INDUSTRIAL,5828,23954,281762
SC,2000-09,INDUSTRIAL,4560,20921,469412
SC,pre-1960,INDUSTRIAL,2655,23514,130300
SC,2010+,INDUSTRIAL,2357,41642,628264
